KXNLMVP | AL MVP
KXNEXTTEAMWESTBROOK | RUSSELL WESTBROOK NEXT TEAM
KXWO-SKEL | Winter Olympics Skeleton
KXNFL2HWINNER | NFL 2nd Half Winner
KXSTARTNOSAINTS | NEW ORLEANS WEEK 1 QB
KXNEXTCOACHOUTNFL | Next Coach Out Pro Football
KXF1H2H | F1 Head-to-Head
KXATPMIA | ATP Miami
KXNCAAMB1HWINNER | College Basketball 1H Winner
KXUCLFIRSTGOAL | UCL First Goalscorer
KXNEXTTEAMMCLAURIN | Terry McLaurin next team
KXSLRCHAMP | England Super League Champion
KXNFLEXACTWINSBAL | Pro football exact wins Baltimore
KXNBABLK | Pro Basketball Player Blocks
KXNFLEXACTWINSNYG | Pro football exact wins New York G
KXMLBSTAT | Pro Baseball Season Stat
KXMARMADSEEDDIF | March Madness Biggest Upset
KXNCAAMBUNDEFEATED | Undefeated in College Basketball Regular Season
KXNBA4QWINNER | NBA 4th Quarter Winner
KXTRADEOFFNFL | Pro football trades offseason
KXRANKLISTKG | Will Ken Griffin be the top donator on <date>?
KXNBACUPMVP | Pro Basketball Cup Tournament MVP
KXNASCARTOP3 | NASCAR Top 5 Finishers
KXCOPADELREY | Copa del Rey Winner
KXUEL16AJAUSG | Europa League round of 16 - AJA USG
KXALCARAZCOACH | Carlos Alcaraz Next Coach
KXNFLREBOOT | Reboot Rules
KXNBACOY | Pro Basketball Coach of the Year
KXNBADRAFT8 | NBA Draft Eighth Pick
KXBUNDESLIGATOP4 | Bundesliga Top 4 Finishers
KXNFLEXACTWINSARI | Pro football exact wins Arizona
KXLEADERNBAREB | NBA RPG Leader
KXNCAAMBIGEAST | Big East Men's basketball tournament
KXNBATOP5ROTY | Top 5 NBA draft ROTY
KXWTAMIA | WTA Miami
KXLSUCOACH | LSU Next Coach
KXDAYTONA24 | Daytona 24 Hour Race Winner
KXF1RACETOP10 | F1 Race Top 10 Finishers
KXNATHANDOGS | Nathan's hot dogs
KXBRASILEIRO | Brasileiro Winner
KXNCAAMWRESTLING285 | College Wrestling National Champion: 285-Pound Weight Class
KXNYGCOACH | New York G Next Coach
KXMLBWINS-HOU | Pro baseball wins Houston
KXNBADRAFT2 | NBA Draft Second Pick
KXNCAAMBCOTY | Men's College Basketball Naismith Coach of the Year
KXUEL | Europa Leauge champion
KXNFLEXACTWINSLV | Pro football exact wins Las Vegas
KXCAATOURNAMENT | CAA Tournament
KXNBAFIRSTBASKET | Pro Basketball First Basket
KXNFLWINS-TB | Pro football wins Tampa Bay
KXSIXKINGSSEMI | Six Kings Slam Semifinals
KXNBA1STTEAMDEF | All-NBA Defensive 1st Team
KXUCLACOACH | UCLA Next Coach
KXNCAAMBNEC | Northeast Conference Tournament
KXEPLTOP2 | Top 2 Finishers
KXNFLRECYDS | Pro Football player Receiving Yards
KXBRYSONCOURSERECORDS | Bryson Course Records
KXNCAAMWRESTLING157 | College Wrestling National Champion: 157-Pound Weight Class
KXWBCPREPACK | MVE WBC pre pack
KXACQUIREREALMADRID | Real Madrid acquire
